OBJECTID,DBH,TPStructure,TPCondition,StumpDiameter,PlantingSpaceGlobalID,Geometry,GlobalID,GenusSpecies,CreatedDate,UpdatedDate,PlantedDate,RiskRating,RiskRatingDate,Lat,Long
5592522,5,Full,Fair,0,34FA14CE-982B-45B6-8CA3-025EBEA58DAD,POINT(-73.88172275215011 40.8710552597435),5E5BF127-30EE-4859-8B43-81EAE8456683,Acer rubrum - red maple,11:11.0,30:44.0,,3,30:44.0,-73.88172275,40.87105526
5592607,35,Full,Good,0,468CA332-B41C-49CA-ACD4-234AFCFD26A5,POINT(-73.8824242352877 40.88353827827682),5BC70164-B9D3-455C-9AAE-ED5BB90B4AFA,Acer rubrum - red maple,11:11.0,,,,,-73.88242424,40.88353828
5592829,7,Full,Good,0,66C56B24-4136-4CBD-A83C-921C93F52CBE,POINT(-73.89525504956399 40.898702442942515),A8BD9C9D-48DA-4F1B-A51C-DFC0D2A56726,Acer rubrum - red maple,11:11.0,,,,,-73.89525505,40.89870244
5592918,18,Full,Good,0,E3EE7D24-9617-4D96-B8BC-E77471433E70,POINT(-73.89679559062682 40.89056997858424),BF03BE14-9900-4662-9552-6DA25CBEB3F9,Acer rubrum - red maple,11:11.0,,,,,-73.89679559,40.89056998
5592923,14,Full,Good,0,BF56F66B-2F1B-43CB-A2A7-F3646B4E2FCD,POINT(-73.88355108442437 40.89116019139826),14F40806-C629-42B1-895B-EA4DB6F75349,Acer rubrum - red maple,11:11.0,,,,,-73.88355108,40.89116019
5592946,16,Full,Good,0,8CC3752B-60C6-46FD-9F37-945C263ECBF5,POINT(-73.88182084049896 40.874720459611154),FC85731D-89FE-4B66-871F-6BF69F1EAEB4,Acer rubrum - red maple,11:11.0,52:05.0,,7,52:05.0,-73.88182084,40.87472046
5593010,25,Full,Fair,0,788257F3-A975-43C0-874C-7AD49E170A63,POINT(-73.88131625936532 40.86947096649426),F76B0836-2242-4018-97CB-6C956E76086E,Acer rubrum - red maple,11:11.0,23:57.0,,6,23:57.0,-73.88131626,40.86947097
5593251,12,Full,Good,0,5AA0E996-BF96-4C77-BFFC-63FF895EF61D,POINT(-73.87625863632054 40.869717497537145),EBF2A39E-5546-4279-829A-F0A83AEEBAD2,Acer rubrum - red maple,11:11.0,,,,,-73.87625864,40.8697175
5593977,13,Full,Good,0,F7EF5CFE-2721-439C-9E54-9B4CC368D0ED,POINT(-73.87600648454135 40.86991875626536),00690C67-4722-466D-9D6A-9BE1C33061BE,Acer rubrum - red maple,11:11.0,,,,,-73.87600648,40.86991876
5594427,18,Full,Good,0,1D26E9F0-98B1-428E-ABA8-82CC21AB2795,POINT(-73.88015101565162 40.867457314881506),38ADD399-310F-43CF-B81B-6C678AE0D276,Acer rubrum - red maple,11:11.0,,,,,-73.88015102,40.86745731
5595015,21,Full,Fair,0,009B09B0-F96C-41F1-8FE8-CEDFD430ED12,POINT(-73.88192196468776 40.8763896236427),3E45ED01-3E59-44FD-B146-6902939C1180,Acer rubrum - red maple,11:11.0,11:15.0,,7,11:15.0,-73.88192196,40.87638962
5595305,10,Full,Poor,0,35E14461-D095-47CB-8573-824787F7FCBD,POINT(-73.90586053099057 40.90018176787963),405DC81E-A30A-44A6-84D6-161BEE94519A,Acer rubrum - red maple,11:11.0,,,,,-73.90586053,40.90018177
5595658,6,Full,Good,0,70EF1369-E8E5-4F7A-9E22-F2331B6920A7,POINT(-73.88413830953903 40.880577797263406),6F40A648-C10D-427B-842F-953D671F762F,Acer rubrum - red maple,11:11.0,49:31.0,,3,49:31.0,-73.88413831,40.8805778
5595844,3,Full,Good,0,AEF676BA-B8F7-453C-BD86-EE3AB1DF75ED,POINT(-73.86802526845108 40.88185002226385),AEE2AA56-FA93-408B-A8DF-202BDFD1B449,Acer rubrum - red maple,11:11.0,,,,,-73.86802527,40.88185002
5595992,3,Full,Poor,0,8FB58797-1A1F-4A4B-B446-8DC9C0687DA8,POINT(-73.8816926835657 40.87429116212166),B4C09FC9-0C0F-4F83-B998-FB111A92D966,Acer rubrum - red maple,11:11.0,,,,,-73.88169268,40.87429116
